OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Weak foot,Skill moves
87,75,83,87,87,50,65,76,75,87,82,85,85,70,90,85,89,81,87,86,86,87,80,78,88,89,89,50,60,50,50,40,71,83,60,55,3,4
87,86,80,83,88,58,78,85,86,87,81,78,86,64,70,79,85,74,87,78,86,89,86,84,84,88,84,58,62,53,62,52,87,83,76,73,5,5
87,88,84,85,84,43,69,88,88,82,85,92,79,71,80,87,83,81,86,82,86,85,87,76,83,84,81,50,50,44,38,38,76,77,75,40,4,4
87,74,46,75,76,88,82,71,77,39,39,59,48,44,50,72,72,41,82,84,64,74,64,60,89,82,85,88,86,87,90,84,88,81,81,83,2,2
87,76,84,87,84,64,80,78,75,87,83,89,86,83,70,79,88,87,91,90,68,85,79,68,87,87,81,71,89,59,62,49,92,85,84,63,3,4
87,71,68,82,80,87,87,70,71,73,55,85,79,66,62,87,74,72,86,81,82,79,73,70,85,84,87,85,82,88,88,85,83,82,92,82,3,3
87,72,88,76,83,45,83,74,71,90,90,91,82,87,83,65,79,67,83,72,76,83,76,77,86,86,88,33,88,42,44,36,90,84,85,76,4,3
87,66,83,92,84,65,72,65,66,81,78,90,87,81,83,93,92,83,92,93,93,85,68,66,89,89,87,65,55,65,70,55,70,66,74,73,5,4
87,82,71,85,87,78,77,80,83,78,75,68,69,70,53,78,88,64,90,87,84,86,87,79,87,88,90,82,72,76,78,77,82,87,73,74,3,4
87,85,81,84,87,60,64,84,85,87,85,74,82,68,74,74,88,69,91,85,72,90,79,85,86,88,79,79,44,41,74,52,63,86,54,63,4,4
87,71,64,78,81,84,82,76,66,63,57,75,72,60,55,65,79,55,85,84,73,79,80,79,84,83,83,87,70,83,86,87,80,90,77,85,3,3
87,72,73,84,80,83,83,71,73,77,64,87,83,50,71,88,79,75,86,86,86,82,63,65,85,84,86,86,72,81,86,85,80,92,78,85,3,3
87,89,76,87,88,77,69,92,87,85,71,88,81,59,70,86,88,75,89,87,81,89,91,85,84,88,88,82,66,76,80,76,76,90,57,72,4,5
87,78,56,75,74,89,80,75,80,70,59,65,45,35,52,68,76,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,79,79,81,3,3
87,74,48,73,72,88,77,73,75,31,50,48,46,45,50,60,63,67,83,88,60,61,73,73,88,85,82,86,85,90,89,88,86,73,77,81,3,3
87,82,84,84,87,67,73,83,81,85,84,88,87,73,68,87,86,88,84,74,81,88,74,84,89,91,82,73,68,61,69,68,85,81,84,31,4,5
87,88,82,81,85,42,70,87,88,88,85,81,80,70,75,76,86,76,85,77,73,85,83,88,85,86,78,43,68,36,41,39,77,87,61,70,5,4
87,84,47,74,79,86,84,85,83,69,47,48,45,32,43,78,70,26,82,75,64,78,70,78,86,81,82,86,80,87,86,84,91,87,85,78,3,3
87,67,83,89,83,65,75,68,66,86,80,86,85,87,91,85,92,85,90,90,85,82,78,73,90,87,85,63,63,62,71,66,69,95,61,84,4,4
87,77,39,68,72,87,83,76,78,54,35,60,23,34,47,58,62,35,80,77,55,74,53,46,86,77,82,86,80,88,90,86,89,72,88,83,3,2
87,72,86,76,85,39,79,71,73,89,89,82,85,86,84,68,76,75,82,72,79,90,74,45,87,89,85,23,91,41,33,30,90,75,85,65,4,4
87,85,87,81,87,57,79,86,85,88,88,88,86,84,78,77,83,80,83,78,87,87,87,87,88,88,86,52,78,60,55,46,86,85,72,86,4,4
87,63,38,60,63,87,86,53,71,36,32,60,26,53,38,39,57,27,78,68,37,60,49,40,85,70,79,84,87,88,89,84,85,76,91,86,3,2
87,66,82,85,85,78,76,68,64,78,79,88,85,77,86,79,86,82,88,87,83,84,82,86,89,86,86,80,65,78,83,74,72,87,69,83,3,3
87,91,77,84,87,63,70,92,91,83,78,83,70,69,68,92,83,80,81,79,86,88,90,91,86,87,70,69,63,56,69,57,78,88,63,62,3,4
87,57,51,70,62,87,88,51,61,38,51,63,46,35,59,50,57,52,86,86,51,59,33,48,84,70,85,82,89,91,88,79,86,79,93,88,4,2
87,68,79,88,87,67,65,68,68,78,79,82,80,79,68,86,90,82,90,88,84,87,85,83,88,88,87,69,55,68,72,57,63,88,55,64,2,5
87,80,81,82,83,83,82,81,79,79,79,90,80,69,74,89,68,78,87,79,84,80,88,81,80,85,84,83,75,90,81,79,83,92,73,94,3,4
87,90,86,73,81,36,91,88,92,88,88,88,80,77,88,72,79,71,78,58,72,80,82,72,87,83,85,28,81,34,34,16,95,93,91,87,4,3
87,80,87,74,89,42,83,80,80,86,91,84,84,91,71,70,79,68,77,67,76,90,89,80,80,90,91,24,93,44,39,30,87,87,81,80,4,4
87,80,78,84,86,81,76,82,78,84,77,80,79,80,73,79,85,67,89,87,79,84,91,88,91,87,88,85,60,80,85,80,75,89,66,87,4,3
87,92,84,65,81,42,84,91,92,91,88,86,73,85,85,62,70,52,72,54,63,80,79,68,88,84,80,34,89,36,45,22,95,81,91,68,4,3
86,95,65,76,82,80,77,94,95,77,61,80,64,54,45,81,72,59,80,72,77,81,87,84,83,82,82,79,73,77,86,81,87,83,73,75,4,3
86,79,55,72,70,84,86,70,87,54,40,84,67,34,40,68,61,56,83,81,50,69,56,50,85,74,80,83,83,84,85,84,89,70,91,93,3,2
86,89,73,82,83,82,80,89,89,80,75,74,71,52,74,70,83,65,89,86,72,82,76,82,87,86,79,88,64,80,88,80,83,93,77,71,3,3
86,78,80,84,87,50,66,83,73,84,83,78,80,71,72,79,88,81,86,79,82,88,90,85,86,86,84,55,36,44,58,49,62,85,57,66,2,4
86,79,86,83,87,45,71,78,79,86,87,84,91,88,64,84,84,85,86,75,81,88,83,84,85,88,81,37,69,31,55,51,71,76,69,69,5,4
86,76,72,89,80,80,74,72,79,79,64,85,76,71,66,93,88,85,87,91,91,79,73,72,85,85,82,84,69,78,82,79,75,89,68,70,4,3
86,59,39,69,69,86,84,55,62,39,29,74,26,32,45,54,64,48,81,79,46,64,62,56,86,75,85,86,85,87,87,85,85,71,89,88,4,2
86,80,85,84,87,41,64,84,76,83,85,84,86,92,88,82,88,87,84,79,89,87,88,87,86,88,89,42,65,32,42,39,76,76,63,48,3,5
86,66,75,84,84,79,81,66,66,77,73,76,82,65,65,76,86,63,88,88,83,86,73,79,85,86,88,82,66,78,82,81,75,90,76,86,2,3
86,84,84,81,84,34,74,83,84,84,86,83,84,78,71,85,81,73,83,77,71,83,89,81,84,86,76,41,77,34,21,20,88,83,78,48,5,4
86,80,34,62,62,86,86,74,84,36,30,46,29,26,39,46,58,38,77,69,47,52,63,60,85,69,81,83,82,88,88,81,90,78,89,86,3,2
86,80,54,79,79,81,72,82,79,66,62,53,40,46,47,85,74,40,86,77,77,77,82,85,84,80,82,81,59,84,84,83,73,91,62,72,4,3
86,77,34,63,69,86,85,69,83,44,29,45,31,28,41,38,64,27,79,76,50,68,55,44,85,76,80,83,84,87,87,86,83,75,91,84,3,3
86,71,81,87,82,81,73,74,68,73,75,87,87,78,92,78,89,85,90,89,88,78,83,77,87,87,85,82,65,81,85,80,73,81,65,83,5,4
86,87,83,71,82,33,74,85,88,91,92,78,72,73,72,66,72,65,77,61,78,80,86,78,87,86,74,31,87,24,26,27,91,82,75,55,3,3
86,78,85,85,90,33,64,84,73,86,84,84,87,89,75,80,87,93,85,84,90,89,84,89,80,94,92,40,60,20,35,24,70,70,68,44,4,4
86,79,74,82,80,81,83,78,79,76,69,85,77,68,64,78,79,81,86,83,75,78,76,77,84,85,84,84,70,81,84,81,83,83,82,84,4,3
86,93,76,80,87,36,66,94,92,80,79,78,72,64,62,83,82,72,82,74,81,88,92,84,82,85,78,40,65,36,28,25,79,81,61,55,5,4
86,93,85,78,87,60,71,92,94,83,89,87,80,74,69,70,79,75,83,73,86,86,92,85,81,88,84,59,77,52,64,53,89,73,74,55,4,4
86,81,80,80,88,27,78,80,82,86,82,79,78,73,78,72,85,69,84,78,71,90,90,73,81,88,90,21,79,21,22,23,88,78,81,66,4,4
86,79,79,82,85,77,77,83,75,86,78,85,83,65,59,73,84,70,87,84,77,84,82,79,85,88,84,80,61,78,80,72,77,92,69,80,4,4
86,91,82,77,83,46,83,92,90,87,89,76,76,70,68,75,78,65,84,75,53,82,84,75,87,87,75,43,60,34,60,35,88,78,91,70,4,4
85,88,73,85,82,78,80,92,85,80,65,92,78,49,60,90,79,81,87,80,88,80,94,90,76,81,84,80,58,76,84,82,80,91,72,85,3,4
85,80,78,84,82,79,77,83,78,83,74,81,84,82,71,87,80,83,84,83,88,79,84,81,83,86,78,80,69,81,81,79,81,84,72,81,4,3
85,76,82,77,80,80,85,70,80,87,84,86,81,76,60,66,79,60,84,81,69,84,55,48,86,85,80,81,81,78,81,75,86,92,82,84,3,3
85,76,76,81,85,81,81,76,76,75,78,79,76,71,58,74,81,70,86,82,76,88,76,70,84,87,88,88,67,80,82,78,81,85,80,76,4,4
85,80,79,80,86,77,77,83,78,77,79,77,82,68,82,60,84,71,90,86,69,88,85,85,85,86,69,77,43,83,82,80,69,84,70,87,3,3
85,79,80,84,83,80,73,77,80,83,81,79,86,68,66,79,86,77,88,86,76,86,62,87,85,86,81,83,59,79,86,82,73,85,69,70,3,4
85,81,80,84,86,72,74,80,82,84,81,79,81,70,72,78,86,82,87,84,80,85,89,90,83,87,76,77,47,74,76,70,68,88,64,83,4,4
85,76,75,85,88,78,70,79,74,87,70,85,73,82,78,78,87,65,90,87,77,88,90,88,89,89,84,79,57,76,87,77,71,89,60,70,4,3
85,87,74,84,86,72,69,91,83,83,74,73,78,62,74,85,85,71,85,80,90,87,81,91,72,88,80,75,46,73,77,75,68,74,71,58,3,4
85,74,69,80,84,82,83,77,71,77,69,73,68,66,60,67,84,53,86,86,74,83,84,86,83,86,85,84,72,83,83,80,83,92,78,84,4,3
85,77,86,85,88,59,73,80,75,87,86,85,86,86,79,82,86,85,86,83,89,86,88,85,87,90,88,59,79,45,63,64,84,77,70,74,3,4
85,87,86,80,84,56,75,86,87,86,90,83,85,75,72,73,83,74,85,79,76,85,81,78,80,86,85,60,81,44,59,48,88,92,72,60,3,4
85,77,71,85,86,81,63,74,79,64,67,73,82,68,63,76,89,71,90,88,68,88,82,88,84,86,78,86,48,87,83,75,60,79,51,73,4,4
85,72,83,84,84,69,69,72,72,84,83,86,86,70,61,74,87,84,89,81,83,85,70,88,84,85,85,73,60,75,65,63,71,83,65,62,4,4
85,88,84,79,84,49,76,90,87,84,87,83,77,85,85,84,80,72,80,69,84,83,90,85,81,84,83,52,63,53,41,37,81,85,71,74,2,4
85,77,65,73,80,85,79,80,74,72,64,71,65,56,54,68,75,49,79,77,49,78,78,93,85,80,82,88,54,88,90,85,74,89,72,85,3,2
85,83,80,77,90,55,74,85,82,81,78,86,83,68,71,74,78,68,81,74,82,91,88,87,85,89,89,59,46,52,60,52,75,80,77,61,4,5
85,80,58,79,81,81,79,81,80,75,56,68,52,53,45,84,78,47,84,74,77,78,78,84,83,84,83,81,76,80,84,83,85,84,74,85,3,3
85,91,81,78,83,43,82,90,92,82,83,82,80,71,76,79,84,68,81,67,71,81,87,83,84,86,80,41,69,38,42,38,87,84,81,80,4,4
85,86,83,76,82,50,80,84,88,86,85,84,79,81,70,76,78,58,80,70,73,85,78,61,84,81,78,50,84,44,48,42,91,83,79,75,4,3
85,89,81,78,87,40,82,93,86,80,84,85,78,71,70,85,79,73,75,76,81,90,75,80,76,90,84,40,66,30,43,38,90,75,91,68,4,5
85,74,84,76,78,52,89,71,76,91,85,86,77,85,80,71,79,71,82,64,73,75,75,77,83,82,82,44,94,45,52,48,94,91,90,84,5,3
85,82,76,84,86,58,67,84,81,82,75,75,77,79,70,83,84,68,87,83,78,84,92,94,84,87,81,72,32,40,72,66,58,92,65,45,4,3
85,88,81,76,87,45,75,88,88,84,83,85,75,81,63,76,79,58,77,72,77,89,88,79,83,87,82,38,71,41,47,38,83,87,69,75,4,4
85,74,60,75,73,85,82,77,72,58,51,81,67,56,38,70,72,55,78,86,67,74,68,64,84,71,78,83,84,85,87,87,91,74,85,84,2,2
85,94,82,71,85,36,81,93,95,87,86,79,78,74,69,71,72,58,79,55,73,85,84,78,81,87,79,30,76,27,38,30,90,88,93,42,3,4
85,84,84,81,83,42,73,85,83,85,84,88,81,83,75,81,83,74,83,72,87,84,79,74,85,85,86,39,72,45,34,33,82,87,69,62,5,4
85,81,81,82,89,57,57,83,79,83,82,89,81,59,64,80,83,74,82,81,88,89,92,92,82,89,85,59,47,60,59,47,59,83,41,64,3,4
85,61,77,80,81,75,72,61,61,84,76,78,82,67,67,72,84,61,85,83,75,82,66,67,85,86,82,79,68,71,79,75,70,84,67,68,3,3
85,54,79,85,80,75,72,51,57,77,77,85,76,83,75,80,87,78,87,88,84,79,62,77,85,86,88,75,70,74,77,80,68,87,69,64,4,4
85,70,83,84,88,44,75,72,69,86,83,85,80,89,86,81,92,80,83,76,89,90,79,92,78,88,89,47,53,48,37,36,70,86,71,73,4,5
85,84,83,77,83,37,79,85,84,89,89,82,75,79,70,56,83,68,85,80,72,83,80,82,86,85,83,29,81,33,35,30,93,87,84,55,3,4
85,81,80,81,86,51,64,83,80,86,82,83,78,75,59,76,86,71,85,76,70,92,67,84,86,84,82,45,69,41,57,56,77,84,64,38,3,5
85,87,77,81,82,45,70,89,86,87,80,73,78,64,59,86,79,54,85,74,81,81,83,85,83,82,79,43,50,45,45,41,72,90,64,60,3,3
85,47,75,85,74,78,82,40,53,76,67,89,84,55,65,77,85,78,89,90,80,73,51,61,86,82,84,77,72,80,79,75,70,84,78,90,3,3
85,80,51,70,74,85,79,75,84,48,38,69,68,35,43,57,66,63,81,72,57,65,80,80,80,81,79,83,78,87,88,84,87,72,82,80,3,3
85,75,84,81,83,38,77,74,76,88,86,85,80,87,68,75,86,73,86,76,82,84,77,72,84,86,84,39,86,43,24,18,83,78,81,63,4,4
85,77,84,70,80,46,77,79,76,88,90,77,77,72,87,56,79,78,77,56,77,80,70,71,88,84,81,45,87,40,42,40,91,71,79,77,4,3
85,93,75,79,88,38,61,93,93,80,73,80,75,70,65,80,80,60,83,74,75,88,93,90,82,89,79,35,48,39,39,32,72,72,62,41,2,5
85,82,85,70,85,32,80,84,80,86,86,86,84,83,75,64,69,73,79,56,76,86,80,73,85,85,90,27,82,22,30,23,92,83,82,70,4,4
85,71,57,72,68,85,80,70,72,52,42,82,74,41,39,53,65,71,83,83,72,60,66,60,84,78,76,86,83,84,87,85,87,69,82,89,3,2
85,76,88,76,80,34,76,73,78,89,88,91,84,84,91,78,76,81,76,70,79,77,76,63,82,85,91,29,87,24,32,24,95,77,80,62,4,5
85,88,80,79,87,31,64,89,87,83,83,76,77,67,82,79,84,77,79,73,82,88,86,84,83,87,85,21,67,24,34,30,77,81,59,52,4,4
85,73,79,83,87,50,56,78,69,83,80,79,80,80,66,78,86,75,87,81,75,87,86,87,86,87,82,57,43,50,50,44,60,65,54,51,4,4
85,77,45,64,73,84,84,76,78,47,39,64,42,33,39,48,58,28,79,78,36,72,66,65,84,76,74,86,83,84,84,82,85,73,87,88,3,3
85,64,46,81,79,79,74,63,65,70,41,56,42,42,55,67,83,51,92,88,53,78,74,68,83,83,85,77,60,82,84,81,69,88,70,70,3,3
85,72,83,71,81,38,77,72,72,87,86,85,78,84,61,64,75,56,78,64,78,81,80,67,85,83,85,25,88,44,29,19,91,69,85,65,3,3
85,82,50,58,66,86,80,78,86,58,49,68,39,38,43,46,45,24,75,69,42,62,65,63,78,68,78,84,87,87,87,84,92,65,84,84,2,2
85,92,82,62,78,33,75,91,93,86,87,81,76,74,68,53,58,58,74,56,58,77,82,69,84,81,68,25,80,27,32,22,95,65,93,35,4,4
85,48,62,70,69,87,83,40,55,70,58,77,53,55,67,60,59,53,80,84,66,69,52,33,81,75,84,85,88,88,88,80,75,70,91,83,3,2
85,91,75,79,87,37,45,92,91,80,81,70,74,51,59,80,78,60,84,77,62,91,91,80,75,86,77,44,41,30,41,30,56,73,34,35,4,4
84,90,76,78,83,79,83,88,92,80,71,86,74,80,74,84,75,74,81,70,80,83,83,71,83,84,80,78,76,76,84,76,90,87,80,83,3,4
84,89,79,78,81,78,82,87,91,79,80,84,79,66,65,76,79,63,81,80,78,81,83,74,81,82,79,80,67,77,82,74,84,92,77,80,4,3
84,81,81,81,82,81,80,82,80,79,80,85,79,77,85,80,82,63,87,75,70,83,77,68,87,85,81,80,76,83,81,77,84,81,84,69,4,4
84,75,78,83,83,76,83,74,76,79,75,82,83,71,66,78,85,76,85,84,84,84,77,78,81,85,81,80,58,76,80,75,76,88,79,86,3,4
84,83,73,84,84,78,74,88,78,81,69,80,79,62,52,86,85,69,86,79,87,85,79,78,84,86,85,79,72,75,81,77,82,88,65,76,4,4
84,76,83,80,85,70,82,74,77,85,85,83,81,79,77,75,84,63,84,80,82,85,84,79,84,85,85,71,82,67,70,60,88,86,80,80,4,4
84,77,81,84,86,74,73,75,79,82,81,83,84,69,70,78,86,75,87,85,83,89,86,64,80,88,80,80,52,77,76,68,74,73,80,53,4,4
84,81,66,80,80,84,83,83,80,70,70,68,60,60,52,83,69,75,87,76,82,75,82,74,85,86,80,86,80,87,83,81,91,84,83,78,2,3
84,94,66,78,85,74,76,95,93,77,64,74,63,59,54,85,77,44,84,71,72,85,84,83,86,85,78,79,74,72,74,73,95,79,75,72,3,4
84,88,74,78,80,79,74,89,88,77,74,75,77,45,85,84,71,71,82,75,74,75,85,89,84,83,81,83,71,81,79,76,85,81,72,65,3,4
84,90,82,81,85,59,75,90,90,86,84,81,83,76,66,75,84,63,87,78,71,83,84,79,86,89,78,49,74,51,73,50,87,83,74,66,3,4
84,84,70,75,79,79,84,78,88,82,75,74,61,51,51,82,67,45,80,74,72,80,69,60,83,82,78,78,85,79,79,77,91,88,81,84,3,2
84,62,80,81,81,78,88,60,64,83,81,82,80,74,64,71,84,83,82,86,81,84,58,62,80,87,84,76,86,77,76,80,88,92,90,79,5,4
84,82,67,82,80,82,76,80,83,73,58,79,76,66,67,83,82,70,84,81,78,78,84,87,82,78,83,80,73,83,84,81,82,80,72,80,4,3
84,78,71,75,78,84,82,77,79,69,68,81,74,60,61,73,70,59,81,76,74,78,68,67,85,80,81,84,80,84,85,84,88,81,80,86,5,3
84,70,79,80,81,77,80,72,69,85,79,81,78,77,70,69,84,66,85,83,78,80,81,79,85,84,74,86,66,75,79,71,80,86,82,69,3,3
84,83,68,79,84,82,70,84,83,78,66,68,65,65,84,79,73,79,82,81,81,85,88,80,84,83,77,80,77,84,85,80,82,83,62,70,3,4
84,84,71,73,85,76,73,83,84,82,69,73,77,62,60,34,86,78,85,82,57,85,86,80,81,87,78,78,58,77,81,74,73,88,63,80,5,3
84,71,69,79,78,81,82,73,70,74,65,78,75,50,55,68,81,53,85,84,76,78,72,70,82,81,82,83,75,81,83,80,84,83,82,80,3,3
84,92,84,78,83,46,77,92,92,85,88,82,83,75,63,79,81,65,81,70,77,84,88,70,80,84,75,42,75,42,45,40,91,77,83,56,4,4
84,71,65,82,74,85,82,70,72,47,62,78,65,43,85,80,60,82,92,93,80,67,65,71,82,84,85,87,83,87,84,80,85,86,76,90,3,2
84,75,64,79,80,82,79,77,74,76,61,73,63,55,57,81,77,63,82,79,79,78,82,83,84,80,79,82,72,83,84,82,86,89,70,85,3,3
84,72,82,83,83,72,67,70,73,85,85,82,86,57,67,77,86,76,86,85,75,85,75,67,80,85,80,82,60,61,80,74,68,83,61,60,3,3
84,70,73,78,80,82,76,69,71,79,79,62,80,47,57,62,82,60,86,84,61,82,66,81,83,83,70,83,74,83,84,80,79,80,74,77,3,2
84,62,71,82,81,81,82,58,65,77,75,65,71,57,61,79,84,57,86,89,68,81,78,50,83,85,82,84,85,79,81,73,84,83,84,76,3,3
84,72,73,87,85,74,67,76,68,78,67,84,83,63,54,91,85,89,86,86,89,84,84,86,85,86,83,79,62,76,75,69,68,91,54,69,2,4
84,75,67,76,75,86,79,74,76,68,60,80,70,81,51,76,69,51,83,81,67,71,71,66,86,79,83,86,84,85,89,84,87,80,76,81,3,3
84,90,80,73,86,52,76,91,90,84,88,77,74,65,64,71,72,57,82,61,72,87,82,88,85,87,77,48,69,52,52,45,85,80,76,68,2,4
84,68,75,85,81,73,75,68,68,78,72,82,76,77,73,79,86,76,88,89,84,80,75,78,86,85,82,74,71,72,75,72,74,85,67,83,4,3
84,77,62,74,76,85,82,74,79,57,58,68,63,58,81,66,74,42,83,79,64,70,82,83,84,81,79,83,81,86,85,86,88,83,81,82,3,2
84,79,76,84,82,65,68,79,79,82,77,77,76,69,68,85,84,80,87,82,78,83,80,76,82,84,74,66,58,67,66,64,71,78,60,76,4,3
84,88,78,77,87,57,66,90,87,80,79,78,76,74,72,75,79,71,80,77,70,88,92,83,83,87,83,58,66,55,58,52,77,81,59,61,4,4
84,62,76,80,82,81,71,72,53,79,74,81,79,63,72,70,83,54,86,84,73,82,78,79,85,84,83,86,67,80,84,80,74,68,67,84,4,3
84,72,61,80,74,85,80,70,73,76,60,73,51,65,51,75,78,51,88,82,69,73,60,61,81,80,84,86,82,86,86,82,87,70,84,79,3,3
84,77,77,80,87,61,70,83,72,79,79,78,81,62,61,74,85,65,84,79,82,87,90,87,85,86,81,65,60,60,62,56,68,82,62,76,3,4
